#id: 3053857823
#name: H.sapiens - Gallbladder (Integrated)
#score: 26.8
#coverage: 58
#description: integrated dataset: weighted average of all H.sapiens GALLBLADDER: 26.8, Coverage: 58
#organ: GALLBLADDER
#integrated: true
#weights: Adult_Gallbladder_Kim_2014_SEQUEST:0.455;gall_bladder_Wilhelm_2014_Maxquant:0.455;PXD010154_Wang_Mol_Syst_Bio_2019_human_deep_proteome_Gallbladder:0.091;
#publication_year: 2023
#filename: 9606-GALLBLADDER-integrated.txt
#
#string_external_id	abundance
9606.ENSP00000333994	20424
9606.ENSP00000295897	18368
9606.ENSP00000251595	15845
9606.ENSP00000322421	15845
9606.ENSP00000295834	11226
9606.ENSP00000306606	8629
9606.ENSP00000432282	7811
9606.ENSP00000367542	7278
9606.ENSP00000351022	6918
9606.ENSP00000370010	6788
9606.ENSP00000402608	6082
9606.ENSP00000270142	5927
9606.ENSP00000261313	5229
9606.ENSP00000248553	5135
9606.ENSP00000458162	5036
9606.ENSP00000363071	5017
9606.ENSP00000416066	4931
9606.ENSP00000446007	4865
9606.ENSP00000229239	4714
9606.ENSP00000369654	4513
9606.ENSP00000358866	4411
9606.ENSP00000290378	4186
9606.ENSP00000379616	4147
9606.ENSP00000363988	4103
9606.ENSP00000348170	4008
9606.ENSP00000265512	4004
9606.ENSP00000419425	3775
9606.ENSP00000233893	3705
9606.ENSP00000366525	3516
9606.ENSP00000361471	3502
9606.ENSP00000349960	3409
9606.ENSP00000254878	3400
9606.ENSP00000385834	3344
9606.ENSP00000285093	3207
9606.ENSP00000402373	3200
9606.ENSP00000252456	3177
9606.ENSP00000209668	3085
9606.ENSP00000386857	3084
9606.ENSP00000345230	2959
9606.ENSP00000430656	2918
9606.ENSP00000356275	2905
9606.ENSP00000339063	2867
9606.ENSP00000342026	2863
9606.ENSP00000420168	2837
9606.ENSP00000355645	2792
9606.ENSP00000303356	2779
9606.ENSP00000335620	2766
9606.ENSP00000439012	2748
9606.ENSP00000381386	2667
9606.ENSP00000234590	2566
9606.ENSP00000306099	2557
9606.ENSP00000262746	2456
9606.ENSP00000304229	2397
9606.ENSP00000432660	2381
9606.ENSP00000358414	2364
9606.ENSP00000274353	2292
9606.ENSP00000373620	2260
9606.ENSP00000336829	2230
9606.ENSP00000346550	2182
9606.ENSP00000300026	2171
9606.ENSP00000354826	2170
9606.ENSP00000346032	2153
9606.ENSP00000349541	2152
9606.ENSP00000269321	2126
9606.ENSP00000285379	2091
9606.ENSP00000355330	2087
9606.ENSP00000446955	2054
9606.ENSP00000216181	2045
9606.ENSP00000362413	2013
9606.ENSP00000357516	2009
9606.ENSP00000474560	2006
9606.ENSP00000370023	1980
9606.ENSP00000327801	1961
9606.ENSP00000446252	1951
9606.ENSP00000378359	1895
9606.ENSP00000225655	1890
9606.ENSP00000256104	1889
9606.ENSP00000353720	1888
9606.ENSP00000355315	1886
9606.ENSP00000426083	1819
9606.ENSP00000263368	1814
9606.ENSP00000252244	1809
9606.ENSP00000388107	1808
9606.ENSP00000279022	1804
9606.ENSP00000357283	1804
9606.ENSP00000377833	1781
9606.ENSP00000301522	1735
9606.ENSP00000357535	1730
9606.ENSP00000236850	1714
9606.ENSP00000241052	1712
9606.ENSP00000480004	1703
9606.ENSP00000320866	1695
9606.ENSP00000266718	1680
9606.ENSP00000052754	1679
9606.ENSP00000445175	1675
9606.ENSP00000245907	1646
9606.ENSP00000327336	1636
9606.ENSP00000259396	1632
9606.ENSP00000215770	1616
9606.ENSP00000264335	1607
9606.ENSP00000324173	1601
9606.ENSP00000222002	1584
9606.ENSP00000229270	1578
9606.ENSP00000418770	1556
9606.ENSP00000272317	1554
9606.ENSP00000306361	1552
9606.ENSP00000478828	1550
9606.ENSP00000297785	1548
9606.ENSP00000220764	1515
9606.ENSP00000349446	1514
9606.ENSP00000262030	1500
9606.ENSP00000431254	1498
9606.ENSP00000215909	1481
9606.ENSP00000265838	1452
9606.ENSP00000390265	1442
9606.ENSP00000377941	1434
9606.ENSP00000346694	1412
9606.ENSP00000290349	1411
9606.ENSP00000468057	1395
9606.ENSP00000381736	1382
9606.ENSP00000408025	1374
9606.ENSP00000211998	1367
9606.ENSP00000355180	1362
9606.ENSP00000345347	1353
9606.ENSP00000295550	1352
9606.ENSP00000296511	1351
9606.ENSP00000449404	1345
9606.ENSP00000363827	1331
9606.ENSP00000320171	1311
9606.ENSP00000327070	1308
9606.ENSP00000269576	1290
9606.ENSP00000378669	1289
9606.ENSP00000379845	1281
9606.ENSP00000363641	1268
9606.ENSP00000261733	1266
9606.ENSP00000300527	1254
9606.ENSP00000438144	1253
9606.ENSP00000252699	1252
9606.ENSP00000309477	1249
9606.ENSP00000357801	1245
9606.ENSP00000300289	1236
9606.ENSP00000360609	1234
9606.ENSP00000215754	1231
9606.ENSP00000299767	1222
9606.ENSP00000352455	1220
9606.ENSP00000277865	1218
9606.ENSP00000327145	1217
9606.ENSP00000416330	1216
9606.ENSP00000484592	1200
9606.ENSP00000323929	1199
9606.ENSP00000377710	1194
9606.ENSP00000353408	1181
9606.ENSP00000432083	1175
9606.ENSP00000433560	1172
9606.ENSP00000262551	1170
9606.ENSP00000296930	1169
9606.ENSP00000376793	1161
9606.ENSP00000354468	1150
9606.ENSP00000221418	1140
9606.ENSP00000265983	1134
9606.ENSP00000311469	1124
