#id: 2334528786
#name: H.sapiens - Plasma, iBAQ (Pernemalmetal,elife.2019)
#score: 4.2
#description: abundance based on iBAQ, Interaction consistency score: 4.2, Coverage: 11
#organ: PLASMA
#integrated: false
#coverage: 11
#link: http://www.ncbi.nlm.nih.gov/pubmed/30958262
#publication_year: 2019
#filename: 9606-PXD010899_human_plasma.txt
#
#string_external_id	abundance
9606.ENSP00000227667	30573
9606.ENSP00000360522	29152
9606.ENSP00000296028	24900
9606.ENSP00000355627	24693
9606.ENSP00000350425	22095
9606.ENSP00000255040	19781
9606.ENSP00000292401	18239
9606.ENSP00000205948	17758
9606.ENSP00000296130	17026
9606.ENSP00000421725	16665
9606.ENSP00000232003	16590
9606.ENSP00000265983	14086
9606.ENSP00000296029	14040
9606.ENSP00000356969	13439
9606.ENSP00000263100	13217
9606.ENSP00000308541	13012
9606.ENSP00000266718	12872
9606.ENSP00000254722	12824
9606.ENSP00000224181	12304
9606.ENSP00000252486	12285
9606.ENSP00000215727	11626
9606.ENSP00000265132	11388
9606.ENSP00000226355	10539
9606.ENSP00000356671	10314
9606.ENSP00000255030	9924
9606.ENSP00000321853	9837
9606.ENSP00000273283	9476
9606.ENSP00000342850	9406
9606.ENSP00000354458	9365
9606.ENSP00000315130	9257
9606.ENSP00000313967	8957
9606.ENSP00000263408	8717
9606.ENSP00000329374	8714
9606.ENSP00000356399	8498
9606.ENSP00000378130	8491
9606.ENSP00000302621	8143
9606.ENSP00000360281	8082
9606.ENSP00000319464	7445
9606.ENSP00000226218	6817
9606.ENSP00000416683	6532
9606.ENSP00000345968	6488
9606.ENSP00000381448	6480
9606.ENSP00000322061	5721
9606.ENSP00000321334	5715
9606.ENSP00000363770	5654
9606.ENSP00000222381	5651
9606.ENSP00000278407	5638
9606.ENSP00000270879	5566
9606.ENSP00000181383	5558
9606.ENSP00000450838	5228
9606.ENSP00000373477	5106
9606.ENSP00000217407	5106
9606.ENSP00000389026	4830
9606.ENSP00000438615	4807
9606.ENSP00000263413	4522
9606.ENSP00000277903	4512
9606.ENSP00000234071	4257
9606.ENSP00000400995	4196
9606.ENSP00000420939	4162
9606.ENSP00000245907	4149
9606.ENSP00000223642	4106
9606.ENSP00000365081	4098
9606.ENSP00000356037	4074
9606.ENSP00000351682	4060
9606.ENSP00000401802	3887
9606.ENSP00000415769	3839
9606.ENSP00000381607	3821
9606.ENSP00000377783	3776
9606.ENSP00000261994	3757
9606.ENSP00000331736	3523
9606.ENSP00000363079	3458
9606.ENSP00000218099	3443
9606.ENSP00000306361	3348
9606.ENSP00000356395	3264
9606.ENSP00000356382	3243
9606.ENSP00000363773	3215
9606.ENSP00000479488	3134
9606.ENSP00000369816	3021
9606.ENSP00000364709	2973
9606.ENSP00000410815	2944
9606.ENSP00000231061	2885
9606.ENSP00000260356	2830
9606.ENSP00000256178	2785
9606.ENSP00000359910	2758
9606.ENSP00000264381	2677
9606.ENSP00000230036	2647
9606.ENSP00000356632	2592
9606.ENSP00000385035	2497
9606.ENSP00000304236	2491
9606.ENSP00000264690	2465
9606.ENSP00000370473	2439
9606.ENSP00000359446	2429
9606.ENSP00000237014	2395
9606.ENSP00000477310	2355
9606.ENSP00000242465	2302
9606.ENSP00000266542	2246
9606.ENSP00000376611	2180
9606.ENSP00000253496	2178
9606.ENSP00000477781	2052
9606.ENSP00000389814	2029
9606.ENSP00000306362	2007
9606.ENSP00000344115	1993
9606.ENSP00000301522	1980
9606.ENSP00000262919	1944
9606.ENSP00000357722	1926
9606.ENSP00000243611	1912
9606.ENSP00000450540	1907
9606.ENSP00000329380	1894
9606.ENSP00000417138	1855
9606.ENSP00000357727	1836
9606.ENSP00000306864	1805
9606.ENSP00000233242	1726
9606.ENSP00000256785	1634
9606.ENSP00000265029	1631
9606.ENSP00000414287	1555
9606.ENSP00000430656	1534
9606.ENSP00000381250	1507
9606.ENSP00000364992	1505
9606.ENSP00000485161	1490
9606.ENSP00000265023	1482
9606.ENSP00000358045	1478
9606.ENSP00000415283	1469
9606.ENSP00000332139	1463
9606.ENSP00000408411	1460
