#id: 3328968863
#name: H.sapiens - Thyroid gland (Integrated)
#score: 26.9
#coverage: 61
#description: integrated dataset: weighted average of all H.sapiens THYROID_GLAND: 26.9, Coverage: 61
#organ: THYROID_GLAND
#integrated: true
#weights: PXD010154_Wang_Mol_Syst_Bio_2019_human_deep_proteome_Thyroid:0.417;PXD016999_Jiang_Cell_2020_Thyroid-ppm:0.417;thyroid_gland_Wilhelm_2014_Maxquant:0.167;
#publication_year: 2023
#filename: 9606-THYROID_GLAND-integrated.txt
#
#string_external_id	abundance
9606.ENSP00000220616	60664
9606.ENSP00000333994	30558
9606.ENSP00000295897	28902
9606.ENSP00000251595	9100
9606.ENSP00000446007	8817
9606.ENSP00000322421	8345
9606.ENSP00000262746	5958
9606.ENSP00000458162	5714
9606.ENSP00000229239	5303
9606.ENSP00000345672	5142
9606.ENSP00000419425	5078
9606.ENSP00000300026	5006
9606.ENSP00000369654	4805
9606.ENSP00000261313	4751
9606.ENSP00000324173	4360
9606.ENSP00000299767	4295
9606.ENSP00000370010	4255
9606.ENSP00000373477	4135
9606.ENSP00000367263	3913
9606.ENSP00000373487	3551
9606.ENSP00000416066	3504
9606.ENSP00000385834	3501
9606.ENSP00000467141	3204
9606.ENSP00000300289	3105
9606.ENSP00000357283	3082
9606.ENSP00000320866	3070
9606.ENSP00000373620	3005
9606.ENSP00000449404	2831
9606.ENSP00000362413	2671
9606.ENSP00000381607	2659
9606.ENSP00000345347	2602
9606.ENSP00000295550	2528
9606.ENSP00000327070	2505
9606.ENSP00000378669	2482
9606.ENSP00000236850	2465
9606.ENSP00000234590	2446
9606.ENSP00000229270	2428
9606.ENSP00000297185	2406
9606.ENSP00000301522	2393
9606.ENSP00000291568	2381
9606.ENSP00000329243	2262
9606.ENSP00000264335	2253
9606.ENSP00000237014	2251
9606.ENSP00000346032	2246
9606.ENSP00000418770	2233
9606.ENSP00000430690	2219
9606.ENSP00000341289	2036
9606.ENSP00000366109	2015
9606.ENSP00000301071	1997
9606.ENSP00000265462	1976
9606.ENSP00000296511	1929
9606.ENSP00000248553	1926
9606.ENSP00000346694	1908
9606.ENSP00000233893	1869
9606.ENSP00000286091	1852
9606.ENSP00000391481	1839
9606.ENSP00000439012	1825
9606.ENSP00000315130	1778
9606.ENSP00000225655	1766
9606.ENSP00000267814	1755
9606.ENSP00000430656	1720
9606.ENSP00000304229	1719
9606.ENSP00000216181	1711
9606.ENSP00000339063	1684
9606.ENSP00000342026	1663
9606.ENSP00000320171	1661
9606.ENSP00000432282	1657
9606.ENSP00000361824	1652
9606.ENSP00000357709	1647
9606.ENSP00000353408	1610
9606.ENSP00000363641	1607
9606.ENSP00000298510	1586
9606.ENSP00000297785	1582
9606.ENSP00000383003	1570
9606.ENSP00000379287	1559
9606.ENSP00000379386	1559
9606.ENSP00000215754	1542
9606.ENSP00000323856	1532
9606.ENSP00000432660	1511
9606.ENSP00000327801	1491
9606.ENSP00000307786	1443
9606.ENSP00000358866	1442
9606.ENSP00000245206	1421
9606.ENSP00000349259	1410
9606.ENSP00000245907	1369
9606.ENSP00000318820	1367
9606.ENSP00000452780	1365
9606.ENSP00000363827	1356
9606.ENSP00000432083	1328
9606.ENSP00000346921	1267
9606.ENSP00000325548	1261
9606.ENSP00000365439	1247
9606.ENSP00000270142	1239
9606.ENSP00000397261	1207
9606.ENSP00000360671	1198
9606.ENSP00000420213	1180
9606.ENSP00000367655	1170
9606.ENSP00000479488	1167
9606.ENSP00000348965	1166
9606.ENSP00000252999	1165
9606.ENSP00000445175	1161
9606.ENSP00000376309	1144
9606.ENSP00000265333	1144
9606.ENSP00000252699	1140
9606.ENSP00000336702	1140
9606.ENSP00000379191	1121
9606.ENSP00000252244	1119
9606.ENSP00000350673	1110
9606.ENSP00000385385	1108
9606.ENSP00000265838	1085
9606.ENSP00000259396	1085
9606.ENSP00000355180	1084
9606.ENSP00000325136	1077
9606.ENSP00000448785	1074
9606.ENSP00000346827	1059
9606.ENSP00000441875	1053
9606.ENSP00000346550	1052
9606.ENSP00000307940	1049
9606.ENSP00000325527	1035
9606.ENSP00000484342	1025
9606.ENSP00000362108	1010
9606.ENSP00000380489	1010
9606.ENSP00000418397	1000
9606.ENSP00000340684	999
9606.ENSP00000335153	989
9606.ENSP00000247461	988
9606.ENSP00000321259	986
9606.ENSP00000364801	980
9606.ENSP00000211998	974
9606.ENSP00000168216	973
9606.ENSP00000215909	963
9606.ENSP00000340466	959
9606.ENSP00000301729	955
9606.ENSP00000222399	950
9606.ENSP00000446955	943
